idx,focus_expert_win_rate,any_expert_win_rate,trick_changes,tie_rate,focus_expert_win_rate_ci,trick_changes_ci
1,0.612,0.612,4.427333333333333,0.21,0.024660507829320954,0.07148648222467838
3,0.67,0.67,4.245333333333333,0.20666666666666667,0.023796046730497063,0.07710127627631747
4,0.6833333333333333,0.6833333333333333,4.031333333333333,0.18466666666666667,0.0235411633181194,0.07751878970426986
6,0.7,0.7,4.000666666666667,0.18333333333333332,0.023191032749750495,0.07527805594057668
7,0.6813333333333333,0.6813333333333333,4.072666666666667,0.19466666666666665,0.023580802396425345,0.07550542928803446
9,0.6073333333333333,0.6073333333333333,4.581333333333333,0.222,0.02471360031267834,0.0717249000114971
13,0.648,0.648,4.246666666666667,0.22533333333333333,0.024169589620016307,0.07509336521463969
14,0.57,0.57,4.72,0.23066666666666666,0.025054289852238874,0.07107113631973093
17,0.582,0.582,4.684666666666667,0.24266666666666667,0.024960890496935402,0.072820702537834
20,0.6333333333333333,0.6333333333333333,4.308666666666666,0.20733333333333334,0.024387221912152944,0.07345381466452487
23,0.5893333333333334,0.5893333333333334,4.628666666666667,0.23933333333333334,0.024896349459605813,0.07329185623317029
24,0.6793333333333333,0.6793333333333333,4.120666666666667,0.204,0.023619941244948404,0.07828186818565994
25,0.634,0.634,4.304666666666667,0.20266666666666666,0.024377861957111828,0.07567131435868132
